4090.13	2200	U II 
4091.6270	10m	U I
4092.8	20	Ne VIII 
		
4093.03	460	U II 
4096.3501	10m	U I
4097.7440	10m	U I
4098.732	12	Ne II 
4098.8645	160	Ne II 
4100.353	120	Ne II 
4101.9047	10m	U I
4101.91	 12w 	Ne II 
4103.1126	10m	U I
4106.2776	10m	U ?
4106.38	380	U II 
4108.3525	10m	U I
4111.0179	10m	U I
4111.882	10	Ne I 
4112.1	150	Ne I 
4112.394	100	Ne II 
4112.694	200	Ne I 
		
4112.865	100	Ne I 
4114.13	16	Ne II 
4116.1	810	U II 
4116.3430	10m	U I
4116.94	30	Ne III 
4118.199	80	Ne II 
		
4124.73	410	U II 
4125.1298	10m	U I
4126.941	20	Ne I 
4128.072	300	Ne I 
4128.34	410	U II 
4130.512	200	Ne I 
		
4131.0613	700	Ne I 
4133.4914	10m	U I
4133.691	180	Ne II 
4133.868	60	Ne II 
4138.33	 50wl 	Ne III 
4141.22	460	U II 
		
4142.88	160	Ne III 
4146.97	 50wl 	Ne III 
4150.19	 90ws 	Ne III 
4150.6893	180	Ne II 
4152.28	 50w 	Ne III 
4153.9195	10m	U I
4153.97	880	U I 
4156.65	380	U I 
4160.9495	10m	U I
4162.4288	10m	U I
4163.68	350	U II 
4163.7440	10m	U I
4164.8079	500	Ne I 
4166.091	300	Ne I 
4166.6329	10m	U I
4169.0469	10m	U I
4171.59	1400	U II 
4173.966	20	Ne I 
4174.3667	700	Ne I 
4175.2197	600	Ne I 
4175.488	400	Ne I 
4180.3056	10m	U I
4181.8	20	Ne VIII 
4186.65	 40w 	Ne II 
4186.9601	10m	U I
4189.27	300	U II 
4191.9331	10m	U I
4196.415	150	Ne I 
4198.1018	700	Ne I 
4198.2153	10m	U I
4198.61	 30w 	Ne III 
4199.59	 90w 	Ne III 
4201.1256	10m	U I
4202.92	 90ws 	Ne III 
4203.27	 20* 	Ne I 
4203.27	 20* 	Ne I 
		
4203.27	 20* 	Ne I 
4204.1617	10m	U I
4205.596	80	Ne II 
4206.501	100	Ne II 
4207.32	 120ws 	Ne III 
4211.5943	10m	U I
4217.068	  	Ne II 
		
4217.1702	180	Ne II 
4217.7561	10m	U I
4219.367	160	Ne II 
4219.7452	300	Ne II 
4219.9631	10m	U I
4220.8935	180	Ne II 
4221.086	120	Ne II 
		
4221.8	 20bl* 	Ne VIII 
4221.8	 20bl* 	Ne VIII 
4222.37	350	U I 
4224.07	200	Ne III 
4224.473	100	Ne II 
		
4224.641	120	Ne II 
4226.06	 240l 	Ne III 
4226.92	  	Ne II 
4228.4279	10m	U I
4229.35	300	Ne III 
4231.5332	 160bl 	Ne II 
		
4231.6362	 180bl 	Ne II 
4231.6679	10m	U I
4232.323	10	Ne I 
4233.1321	10m	U I
4233.8466	200	Ne II 
4239.919	160	Ne II 
4240.1049	180	Ne II 
		
4241.67	1000	U II 
4242.038	60	Ne II 
4242.21	120	Ne II 
4242.863	  	Ne II 
4242.946	  	Ne II 
		
4244.37	520	U II 
4246.26002	10m	U I
4249.538	20	Ne I 
4250.6469	240	Ne II 
4252.418	20	Ne I 
4252.775	20	Ne I 
		
4256.498	 20* 	Ne I 
4256.498	 20* 	Ne I 
4257.181	80	Ne II 
4257.395	80	Ne II 
4257.8024	180	Ne II 
		
4259.739	10	Ne I 
4261.98	 240l 	Ne III 
4262.442	40	Ne II 
4262.479	20	Ne I 
4265.22	 200l 	Ne III 
4266.3228	10m	U I
4267.286	10	Ne I 
4267.382	60	Ne II 
4267.724	50	Ne I 
4267.9290	10m	U I
4268.0086	700	Ne I 
4268.05	 160l 	Ne III 
		
4269.7223	700	Ne I 
4270.2252	500	Ne I 
4271.2287	10m	U I
4274.6617	500	Ne I 
4275.167	10	Ne I 
4275.559	700	Ne I 
		
4278.85	50	Ne I 
4279.279	150	Ne I 
4280.437	  	Ne II 
4280.581	  	Ne II 
4283.242	100	Ne I 
		
4288.541	50	Ne I 
4288.8303	10m	U I
4289.799	20	Ne I 
4290.374	180	Ne II 
4290.602	160	Ne II 
4291.976	 20* 	Ne I 
		
4291.976	 20* 	Ne I 
4291.976	 20* 	Ne I 
4293.2928	10m	U I
4294.27	19	Ne II 
4298.094	12	Ne II 
4303.248	300	Ne I 
		
4303.695	10	Ne I 
4303.955	50	Ne I 
4306.2508	700	Ne I 
4306.8134	10m	U I
4309.1675	10m	U I
4309.6885	10m	U I
4310.13	20	Ne I 
4313.1386	10m	U I
4313.8	100	Ne VIII 
		
4314.11	10	Ne I 
4314.695	300	Ne I 
4316.008	150	Ne I 
4318.834	50	Ne I 
4319.511	10	Ne I 
		
4321.492	20	Ne I 
4322.371	160	Ne II 
4322.3823	10m	U I
4322.742	140	Ne II 
4324.62	30	Ne II 
4325.232	120	Ne II 
		
4327.265	100	Ne I 
4328.7305	10m	U I
4331.8	 200* 	Ne VIII 
4331.8	 200* 	Ne VIII 
4334.1267	700	Ne I 
4335.7318	10m	U I
4336.2268	500	Ne I 
4337.3975	10m	U I
4337.72	400	Ne VIII 
4338.2	20	Ne I 
4339.5	100	Ne VII 
4339.8209	160	Ne II 
4339.99	400	Ne VIII 
		
4340.02	40	Ne II 
		
4340.256	20	Ne I 
4340.42	20	Ne I 
4340.9	 400* 	Ne VIII 
4340.9	 400* 	Ne VIII 
4340.9	 400* 	Ne VIII 
		
4341.514	160	Ne II 
		
4341.69	680	U II 
4342.198	22	Ne II 
4345.479	 20* 	Ne I 
4345.479	 20* 	Ne I 
		
4345.762	10	Ne I 
4346.036	150	Ne I 
4346.239	160	Ne II 
4349.135	 40w 	Ne II 
4354.5457	10m	U I
4355.74	 430w 	U I 
		
4357.298	20	Ne I 
4357.9138	10m	U I
4357.918	50	Ne I 
4358.816	20	Ne I 
4362.05	430	U I 
4362.69	300	Ne I 
4362.7945	10m	U I
4363.228	20	Ne I 
4363.524	700	Ne I 
4365.632	  	Ne II 
4365.705	10	Ne I 
4365.745	160	Ne II 
		
4369.862	240	Ne II
4371.7577	10m	U I 
4371.796	20	Ne I 
4372.157	300	Ne I 
4372.7557	10m	U I
4374.997	 20* 	Ne I 
4374.997	 20* 	Ne I 
		
4376.54	 100bl 	Ne VIII 
4377.754	20	Ne I 
4377.754	 20* 	Ne I 
4377.983	180	Ne II 
4379.4	 140bl 	Ne II 
		
4379.5496	300	Ne II 
4380.09	 100bl* 	Ne VIII 
4380.09	 100bl* 	Ne VIII 
4380.09	 100bl* 	Ne VIII 
4381.22	300	Ne I 
4382.3360	10m	U I
4383.2613	10m	U I
4384.1079	180	Ne II 
4384.223	80	Ne II 
4384.976	  	Ne II 
4385.0642	200	Ne II 
4385.87	 100bl 	Ne VIII 
4387.3106	10m	U I
4391.9902	400	Ne II 
4391.994	  	Ne II 
4393.59	330	U I 
4394.37	 150* 	Ne I 
4394.37	 150* 	Ne I 
		
4394.37	 150* 	Ne I 
4394.773	150	Ne I 
4395.008	10	Ne I 
4395.306	10	Ne I 
4395.556	500	Ne I 
		
4395.969	10	Ne I 
4396.313	120	Ne II 
4397.175	10	Ne I 
4397.9902	300	Ne II 
4398.136	50	Ne I 
		
4402.374	20	Ne I 
4402.58	10	Ne I 
4402.985	10	Ne I 
4405.582	20	Ne I 
4409.2987	300	Ne II 
		
4409.62	200	Ne I 
4409.778	 40w 	Ne II 
4412.2	 80w 	Ne II 
4412.285	200	Ne I 
4412.591	180	Ne II 
4413.1332	10m	U I
4413.113	 160* 	Ne II 
4413.113	 160* 	Ne II 
4413.215	200	Ne II 
